ensembl_gene,symbol,entrez_id,transcript_type,comparaison,baseMean,log2FoldChange,pvalue,padj
ENSG00000077232,DNAJC10,NA,protein_coding,5-ARI,11.07714333,-0.161312305,3.49045e-4,0.032900438
ENSG00000077463,SIRT6,NA,protein_coding,5-ARI,6.24014415,-0.189347225,0.001013358,0.065348643
ENSG00000078808,SDF4,NA,protein_coding,5-ARI,9.359445632,-0.148147223,9.83013e-4,0.064304863
ENSG00000079739,PGM1,NA,protein_coding,5-ARI,8.777734368,-0.140901704,3.46576e-4,0.032894704
ENSG00000080189,SLC35C2,NA,protein_coding,5-ARI,8.669822575,-0.096726815,7.46555e-4,0.053750334
ENSG00000082641,NFE2L1,NA,protein_coding,5-ARI,10.9548318,-0.091980508,0.001959841,0.09690777
ENSG00000083444,PLOD1,NA,protein_coding,5-ARI,8.75633795,-0.100467383,0.001144197,0.07011483
ENSG00000087008,ACOX3,NA,protein_coding,5-ARI,9.032196017,-0.16897435,0.001258173,0.074921883
ENSG00000087460,GNAS,NA,protein_coding,5-ARI,11.6089643,-0.104878868,5.18601e-5,0.007811269
ENSG00000088256,GNA11,NA,protein_coding,5-ARI,9.779779844,-0.156068308,1.37479e-4,0.016959201
ENSG00000088298,EDEM2,NA,protein_coding,5-ARI,7.20594332,-0.154534273,2.63934e-4,0.026955883
ENSG00000088386,SLC15A1,NA,protein_coding,5-ARI,6.223573015,-0.449320162,9.99328e-4,0.064939421
ENSG00000089597,GANAB,NA,protein_coding,5-ARI,11.10749651,-0.080514888,0.001042954,0.066763947
ENSG00000089693,MLF2,NA,protein_coding,5-ARI,9.382433189,-0.110079969,0.00204792,0.099476753
ENSG00000089737,DDX24,NA,protein_coding,5-ARI,9.068486994,-0.182975398,0.00199116,0.097779606
ENSG00000090266,NDUFB2,NA,protein_coding,5-ARI,8.205594305,-0.115511974,8.97435e-4,0.061395502
ENSG00000091137,SLC26A4,NA,protein_coding,5-ARI,7.842685316,-1.415507787,1.02494e-5,0.001837098
ENSG00000092871,RFFL,NA,protein_coding,5-ARI,9.41664727,-0.164943142,0.001400993,0.078966647
ENSG00000095321,CRAT,NA,protein_coding,5-ARI,8.711249995,-0.191690971,0.001719352,0.089817493
ENSG00000096088,PGC,NA,protein_coding,5-ARI,5.810682022,-0.947333522,7.09567e-4,0.051911332
ENSG00000099341,PSMD8,NA,protein_coding,5-ARI,8.831879104,-0.17980423,5.13445e-4,0.042114316
ENSG00000099958,DERL3,NA,protein_coding,5-ARI,3.882728455,-0.245972142,4.897979999999999e-34,1.73844e-31
ENSG00000100014,SPECC1L,NA,protein_coding,5-ARI,10.32172154,-0.13775108,0.001386339,0.078712713
ENSG00000100191,SLC5A4,NA,protein_coding,5-ARI,6.141275519,-0.347011356,2.63309e-7,5.8266e-5
ENSG00000100284,TOM1,NA,protein_coding,5-ARI,8.379361274,-0.10821798,8.71998e-4,0.060230061
ENSG00000100299,ARSA,NA,protein_coding,5-ARI,8.45722241,-0.150016303,3.17568e-4,0.031189541
ENSG00000100300,TSPO,NA,protein_coding,5-ARI,7.695303619,-0.191091311,0.001802995,0.092598533
ENSG00000100417,PMM1,NA,protein_coding,5-ARI,7.202224298,-0.131639432,0.001274995,0.075672235
ENSG00000100665,SERPINA4,NA,protein_coding,5-ARI,0.840339649,-1.982709533,6.52066e-4,0.049211109
ENSG00000100991,TRPC4AP,NA,protein_coding,5-ARI,9.551056318,-0.07522738,4.83219e-5,0.007359725
ENSG00000101150,TPD52L2,NA,protein_coding,5-ARI,9.313027591,-0.067033227,0.001765638,0.091735739
ENSG00000101152,DNAJC5,NA,protein_coding,5-ARI,9.734559593,-0.080441233,6.16479e-4,0.048042472
ENSG00000101310,SEC23B,NA,protein_coding,5-ARI,9.244508392,-0.203882918,0.001579849,0.08550441
ENSG00000101443,WFDC2,NA,protein_coding,5-ARI,7.591225345,-0.392311252,2.46562e-4,0.025844281
ENSG00000101444,AHCY,NA,protein_coding,5-ARI,9.108803882,-0.155380513,0.001186939,0.071511607
ENSG00000101846,STS,NA,protein_coding,5-ARI,8.694132714,-0.086865701,0.001280175,0.075854076
ENSG00000101958,GLRA2,NA,protein_coding,5-ARI,1.310282864,-0.296360427,2.4846999999999996e-168,1.6805999999999998e-165
ENSG00000102580,DNAJC3,NA,protein_coding,5-ARI,10.68125408,-0.174038316,0.001628379,0.087132542
ENSG00000102871,TRADD,NA,protein_coding,5-ARI,7.047207632,-0.154746499,3.93549e-4,0.035269862
ENSG00000102934,PLLP,NA,protein_coding,5-ARI,14.52173649,-0.150332583,3.09625e-4,0.030661392
ENSG00000103152,MPG,NA,protein_coding,5-ARI,6.995079722,-0.146867174,1.41048e-4,0.017316063
ENSG00000103202,NME4,NA,protein_coding,5-ARI,9.088368317,-0.215531359,9.46257e-4,0.063404558
ENSG00000103335,PIEZO1,NA,protein_coding,5-ARI,10.97405955,-0.100712085,0.001957415,0.09690777
ENSG00000103363,ELOB,NA,protein_coding,5-ARI,7.85392066,-0.181672793,2.48854e-4,0.025932941
ENSG00000103569,AQP9,NA,protein_coding,5-ARI,6.004149473,-0.831374102,1.54657e-5,0.002678335
ENSG00000104419,NDRG1,NA,protein_coding,5-ARI,12.56994167,-0.429664548,3.65446e-4,0.033170751
ENSG00000104805,NUCB1,NA,protein_coding,5-ARI,10.25634748,-0.105418075,1.64013e-4,0.019664038
ENSG00000104879,CKM,NA,protein_coding,5-ARI,4.378014981,-0.375389625,4.4198099999999996e-44,1.68555e-41
ENSG00000104921,FCER2,NA,protein_coding,5-ARI,1.372641147,-0.200314356,1.43069e-22,4.3464e-20
ENSG00000104946,TBC1D17,NA,protein_coding,5-ARI,8.576125948,-0.082729046,0.001322747,0.077081386
ENSG00000105053,VRK3,NA,protein_coding,5-ARI,8.655734111,-0.136534173,2.53848e-4,0.026300406
ENSG00000105281,SLC1A5,NA,protein_coding,5-ARI,10.18460118,-0.149433671,0.001367867,0.0781474
ENSG00000105355,PLIN3,NA,protein_coding,5-ARI,8.373252178,-0.150043744,5.95097e-5,0.008707369
ENSG00000105612,DNASE2,NA,protein_coding,5-ARI,7.930907652,-0.134082212,4.92524e-4,0.041060461
ENSG00000105669,COPE,NA,protein_coding,5-ARI,8.629588799,-0.154746582,2.24563e-4,0.024156205
ENSG00000105671,DDX49,NA,protein_coding,5-ARI,7.210489243,-0.138965044,4.47693e-4,0.038486554
ENSG00000105677,TMEM147,NA,protein_coding,5-ARI,7.290611623,-0.109609012,5.40319e-4,0.043822061
ENSG00000106348,IMPDH1,NA,protein_coding,5-ARI,8.157110912,-0.168752328,0.00172017,0.089817493
ENSG00000106397,PLOD3,NA,protein_coding,5-ARI,8.113314512,-0.109129737,0.001005233,0.065046195
ENSG00000106780,MEGF9,NA,protein_coding,5-ARI,8.659605012,-0.12096823,7.44519e-4,0.053750334
ENSG00000107165,TYRP1,NA,protein_coding,5-ARI,1.431733324,-1.478259385,6.31528e-4,0.048790964
ENSG00000107175,CREB3,NA,protein_coding,5-ARI,8.23015709,-0.140832535,9.08862e-4,0.061473387
ENSG00000108829,LRRC59,NA,protein_coding,5-ARI,9.213002592,-0.179233447,2.30914e-4,0.024636364
ENSG00000109654,TRIM2,NA,protein_coding,5-ARI,10.0947547,-0.114659464,6.29873e-4,0.048768258
ENSG00000109762,SNX25,NA,protein_coding,5-ARI,8.588737368,-0.247574186,9.98583e-4,0.064939421
ENSG00000111700,SLCO1B3,NA,protein_coding,5-ARI,1.787518185,-0.117478931,8.76202e-14,2.41616e-11
ENSG00000111775,COX6A1,NA,protein_coding,5-ARI,8.634850531,-0.153701137,6.47594e-4,0.049211109
ENSG00000111845,PAK1IP1,NA,protein_coding,5-ARI,7.580584502,-0.467670906,0.001797742,0.092584709
ENSG00000111911,HINT3,NA,protein_coding,5-ARI,8.767413331,-0.125624328,0.002023419,0.098687809
ENSG00000112096,SOD2,NA,protein_coding,5-ARI,13.26160928,-0.688833782,6.24534e-5,0.009027533
ENSG00000112419,PHACTR2,NA,protein_coding,5-ARI,10.12165488,-0.149495585,2.52356e-4,0.026221575
ENSG00000112473,SLC39A7,NA,protein_coding,5-ARI,6.221633566,-0.256462487,0.001578385,0.08550441
ENSG00000112699,GMDS,NA,protein_coding,5-ARI,7.435975849,-0.288778737,3.62744e-4,0.033170751
ENSG00000112715,VEGFA,NA,protein_coding,5-ARI,10.2472098,-0.496929468,3.17066e-4,0.031189541
ENSG00000113273,ARSB,NA,protein_coding,5-ARI,7.924269613,-0.201006973,0.00107136,0.066996249
ENSG00000113716,HMGXB3,NA,protein_coding,5-ARI,9.740186895,-0.20382906,8.6752e-4,0.060036376
ENSG00000113732,ATP6V0E1,NA,protein_coding,5-ARI,8.874725093,-0.113717159,0.001319651,0.077081386
ENSG00000115457,IGFBP2,NA,protein_coding,5-ARI,9.476208395,-0.209339023,4.61463e-4,0.039293434
ENSG00000116455,WDR77,NA,protein_coding,5-ARI,7.936923145,-0.110385954,0.001971688,0.097109377
ENSG00000116459,ATP5PB,NA,protein_coding,5-ARI,9.135890648,-0.116504063,0.001243122,0.074396384
ENSG00000116685,KIAA2013,NA,protein_coding,5-ARI,8.436501891,-0.080290899,0.001814531,0.092924713
ENSG00000116745,RPE65,NA,protein_coding,5-ARI,4.397507818,-0.717683899,7.17481e-5,0.010166114
ENSG00000117280,RAB29,NA,protein_coding,5-ARI,8.208391388,-0.152119288,0.001556179,0.084652333
ENSG00000118705,RPN2,NA,protein_coding,5-ARI,10.50220982,-0.202709533,4.05344e-4,0.03614622
ENSG00000119383,PTPA,NA,protein_coding,5-ARI,9.81233862,-0.118083324,8.86757e-5,0.011961377
ENSG00000119408,NEK6,NA,protein_coding,5-ARI,9.44010759,-0.161374292,0.001013553,0.065348643
ENSG00000119673,ACOT2,NA,protein_coding,5-ARI,7.277514026,-0.174372942,2.89495e-4,0.029025057
ENSG00000120669,SOHLH2,NA,protein_coding,5-ARI,5.016462008,-0.2551508,4.39893e-4,0.038090046
ENSG00000120725,SIL1,NA,protein_coding,5-ARI,8.118701189,-0.150758437,0.001344886,0.077514579
ENSG00000120899,PTK2B,NA,protein_coding,5-ARI,9.460576639,-0.177470259,0.001253438,0.074764144
ENSG00000121577,POPDC2,NA,protein_coding,5-ARI,7.183303026,-0.463768083,6.12255e-7,1.33019e-4
ENSG00000122824,NUDT10,NA,protein_coding,5-ARI,6.419361049,-0.393351239,6.08432e-5,0.008830395
ENSG00000123933,MXD4,NA,protein_coding,5-ARI,9.592824276,-0.138966955,6.77842e-4,0.05051822
ENSG00000123989,CHPF,NA,protein_coding,5-ARI,8.877156798,-0.189177759,4.7419e-5,0.007264431
ENSG00000124783,SSR1,NA,protein_coding,5-ARI,10.93362405,-0.119627709,0.001046614,0.066767648
ENSG00000124839,RAB17,NA,protein_coding,5-ARI,6.292404555,-0.38340332,0.001493219,0.082430566
ENSG00000125144,MT1G,NA,protein_coding,5-ARI,7.21059534,-0.789372532,1.8818e-4,0.021621419
ENSG00000125148,MT2A,NA,protein_coding,5-ARI,8.592594344,-0.59180001,9.78804e-6,0.001788808
ENSG00000125734,GPR108,NA,protein_coding,5-ARI,8.437199246,-0.135371952,0.001445163,0.0808209
ENSG00000125843,AP5S1,NA,protein_coding,5-ARI,8.187292999,-0.114469436,0.001059856,0.066996249
ENSG00000125844,RRBP1,NA,protein_coding,5-ARI,10.52311285,-0.123901976,4.2129e-4,0.036835137
ENSG00000125931,CITED1,NA,protein_coding,5-ARI,3.946299913,-0.104158458,7.35191e-11,1.80515e-8
ENSG00000125991,ERGIC3,NA,protein_coding,5-ARI,9.659143129,-0.082197475,0.00195989,0.09690777
ENSG00000126005,MMP24OS,NA,protein_coding,5-ARI,8.408647693,-0.090092092,6.87059e-4,0.050993167
ENSG00000126062,TMEM115,NA,protein_coding,5-ARI,7.904676471,-0.089803238,0.001850378,0.094178016
ENSG00000126581,BECN1,NA,protein_coding,5-ARI,9.076561008,-0.106270013,2.65958e-4,0.027085453
ENSG00000127774,EMC6,NA,protein_coding,5-ARI,5.258830265,-0.19586766,0.001411294,0.079297897
ENSG00000127838,PNKD,NA,protein_coding,5-ARI,9.115779691,-0.28860225900000003,6.41831e-4,0.049211109
ENSG00000128228,SDF2L1,NA,protein_coding,5-ARI,5.906368888,-0.300557589,4.84517e-5,0.007359725
ENSG00000128272,ATF4,NA,protein_coding,5-ARI,10.34107945,-0.123677912,2.03128e-4,0.022942926
ENSG00000129925,PGAP6,NA,protein_coding,5-ARI,8.756878569,-0.279022507,1.77417e-4,0.020967007
ENSG00000129968,ABHD17A,NA,protein_coding,5-ARI,8.937976811,-0.133035179,3.51667e-5,0.005529196
ENSG00000130066,SAT1,NA,protein_coding,5-ARI,10.51523345,-0.322248006,3.10289e-6,6.24901e-4
ENSG00000130202,NECTIN2,NA,protein_coding,5-ARI,9.326372755,-0.169277796,0.001926791,0.096248366
ENSG00000130508,PXDN,NA,protein_coding,5-ARI,9.690210256,-0.179292024,3.47777e-4,0.032894704
ENSG00000130768,SMPDL3B,NA,protein_coding,5-ARI,5.007384455,-0.346452118,0.001915041,0.096028828
ENSG00000131143,COX4I1,NA,protein_coding,5-ARI,9.27184788,-0.090868518,0.001439266,0.080616879
ENSG00000132329,RAMP1,NA,protein_coding,5-ARI,7.645391673,-0.277203045,6.63917e-4,0.049972658
ENSG00000132821,VSTM2L,NA,protein_coding,5-ARI,5.890751498,-0.387403212,0.00195654,0.09690777
ENSG00000132932,ATP8A2,NA,protein_coding,5-ARI,3.625226394,-0.149243447,2.2985599999999998e-20,6.80981e-18
ENSG00000133027,PEMT,NA,protein_coding,5-ARI,6.396936414,-0.24340736,2.58027e-4,0.026541267
ENSG00000133065,SLC41A1,NA,protein_coding,5-ARI,8.697240909,-0.252471184,0.001359252,0.078087313
ENSG00000133454,MYO18B,NA,protein_coding,5-ARI,2.113041438,-0.170531028,9.922799999999999e-28,3.2936299999999998e-25
ENSG00000134278,SPIRE1,NA,protein_coding,5-ARI,8.763583331,-0.178007963,1.12581e-4,0.014569747
ENSG00000134339,SAA2,NA,protein_coding,5-ARI,5.363729472,-1.897219834,4.23934e-7,9.32342e-5
ENSG00000134575,ACP2,NA,protein_coding,5-ARI,7.997579601,-0.185602674,2.05442e-4,0.022942926
ENSG00000134686,PHC2,NA,protein_coding,5-ARI,9.135299626,-0.140333056,1.45415e-4,0.0177912
ENSG00000135148,TRAFD1,NA,protein_coding,5-ARI,8.624392772,-0.168513811,3.33135e-4,0.032189328
ENSG00000135404,CD63,NA,protein_coding,5-ARI,10.62746721,-0.089869024,0.001034987,0.066372468
ENSG00000135406,PRPH,NA,protein_coding,5-ARI,3.217146324,-0.246939339,2.4755799999999998e-42,9.14894e-40
ENSG00000135447,PPP1R1A,NA,protein_coding,5-ARI,3.853992273,-0.68193652,8.23654e-5,0.011330588
ENSG00000135506,OS9,NA,protein_coding,5-ARI,10.4177223,-0.091836743,0.001066159,0.066996249
ENSG00000135686,KLHL36,NA,protein_coding,5-ARI,10.04523672,-0.155108681,0.001663364,0.088338186
ENSG00000136026,CKAP4,NA,protein_coding,5-ARI,9.273617053,-0.128642613,1.98709e-4,0.022685705
ENSG00000136167,LCP1,NA,protein_coding,5-ARI,11.05569759,-0.321819851,6.58246e-5,0.009363818
ENSG00000136247,ZDHHC4,NA,protein_coding,5-ARI,7.95098385,-0.114159477,9.70916e-4,0.063746154
ENSG00000136802,LRRC8A,NA,protein_coding,5-ARI,9.237453588,-0.158764248,2.02702e-4,0.022942926
ENSG00000136810,TXN,NA,protein_coding,5-ARI,8.150873399,-0.150503056,3.05861e-4,0.030456968
ENSG00000136930,PSMB7,NA,protein_coding,5-ARI,8.493053175,-0.108292084,2.2804e-5,0.003802214
ENSG00000137558,PI15,NA,protein_coding,5-ARI,10.81396379,-0.493321871,5.57767e-5,0.008296604
ENSG00000138032,PPM1B,NA,protein_coding,5-ARI,9.335798172,-0.15152022,8.07321e-4,0.057478418
ENSG00000138061,CYP1B1,NA,protein_coding,5-ARI,10.56426839,-0.309693195,4.30934e-4,0.037495446
ENSG00000139112,GABARAPL1,NA,protein_coding,5-ARI,9.264602359,-0.128911,9.75005e-4,0.063897557
ENSG00000141179,PCTP,NA,protein_coding,5-ARI,7.078948163,-0.177436586,3.52463e-4,0.032900438
ENSG00000141367,CLTC,NA,protein_coding,5-ARI,12.19237977,-0.09536082,0.001163353,0.070702971
ENSG00000141429,GALNT1,NA,protein_coding,5-ARI,8.988398086,-0.142012025,5.14563e-4,0.042114316
ENSG00000141522,ARHGDIA,NA,protein_coding,5-ARI,9.925676805,-0.090992803,0.001685163,0.088988051
ENSG00000141741,MIEN1,NA,protein_coding,5-ARI,7.043419219,-0.233819696,3.4231e-4,0.03281052
ENSG00000142208,AKT1,NA,protein_coding,5-ARI,10.34748158,-0.130858903,4.16062e-4,0.036556332
ENSG00000142327,RNPEPL1,NA,protein_coding,5-ARI,8.672449606,-0.156219983,0.001130538,0.069675121
ENSG00000142396,ERVK3-1,NA,protein_coding,5-ARI,8.782550815,-0.110434919,0.001581383,0.08550441
ENSG00000142507,PSMB6,NA,protein_coding,5-ARI,7.562589835,-0.095860644,0.001404648,0.079048361
ENSG00000142528,ZNF473,NA,protein_coding,5-ARI,7.656904152,-0.297103628,0.001465782,0.081592159
ENSG00000142556,ZNF614,NA,protein_coding,5-ARI,8.441256779,-0.297759006,5.64368e-5,0.00832571
ENSG00000143001,TMEM61,NA,protein_coding,5-ARI,3.852413168,-0.527634671,5.62567e-5,0.00832571
ENSG00000143147,GPR161,NA,protein_coding,5-ARI,8.874656822,-0.276467879,0.001070432,0.066996249
ENSG00000143158,MPC2,NA,protein_coding,5-ARI,8.809698726,-0.305642929,0.001002861,0.065010072
ENSG00000143222,UFC1,NA,protein_coding,5-ARI,8.314957883,-0.094806951,4.81605e-4,0.040432262
ENSG00000143355,LHX9,NA,protein_coding,5-ARI,0.9707533,-0.540955361,0,0
ENSG00000143543,JTB,NA,protein_coding,5-ARI,8.791385895,-0.11183858,0.001666504,0.088374012
ENSG00000143545,RAB13,NA,protein_coding,5-ARI,8.587759332,-0.133233967,8.11162e-4,0.057581267
ENSG00000143546,S100A8,NA,protein_coding,5-ARI,3.887082121,-0.212208742,1.12629e-97,5.93756e-95
ENSG00000143870,PDIA6,NA,protein_coding,5-ARI,10.11747597,-0.189224107,1.01448e-4,0.013321316
ENSG00000144191,CNGA3,NA,protein_coding,5-ARI,1.702376917,-0.062278828,6.47729e-4,0.049211109
ENSG00000144749,LRIG1,NA,protein_coding,5-ARI,10.51915296,-0.255397038,4.99365e-4,0.041247048
ENSG00000145050,MANF,NA,protein_coding,5-ARI,7.726931145,-0.210301557,6.50398e-4,0.049211109
ENSG00000145088,EAF2,NA,protein_coding,5-ARI,7.072746495,-0.434576535,2.18804e-4,0.023841036
ENSG00000145103,ILDR1,NA,protein_coding,5-ARI,7.132913679,-0.334651331,1.8525e-4,0.021413374
ENSG00000146215,CRIP3,NA,protein_coding,5-ARI,4.703981261,-0.329182395,9.73025e-8,2.20766e-5
ENSG00000146433,TMEM181,NA,protein_coding,5-ARI,9.71804553,-0.109742134,2.84498e-4,0.028647951
ENSG00000147255,IGSF1,NA,protein_coding,5-ARI,5.878801059,-0.40234688,9.59891e-12,2.49349e-9
ENSG00000148346,LCN2,NA,protein_coding,5-ARI,6.079809922,-1.065213444,2.8572999999999996e-97,1.46326e-94
ENSG00000149328,GLB1L2,NA,protein_coding,5-ARI,8.974845175,-0.350502801,9.04321e-4,0.061473387
ENSG00000149428,HYOU1,NA,protein_coding,5-ARI,9.250196232,-0.211475748,9.13317e-5,0.012216643
ENSG00000149923,PPP4C,NA,protein_coding,5-ARI,7.880703786,-0.094741729,9.53371e-4,0.063487473
ENSG00000151176,PLBD2,NA,protein_coding,5-ARI,9.161771799,-0.136977772,1.13442e-4,0.014628241
ENSG00000151474,FRMD4A,NA,protein_coding,5-ARI,9.554853772,-0.227712936,8.45786e-4,0.059334153
ENSG00000151498,ACAD8,NA,protein_coding,5-ARI,9.916016455,-0.282495129,8.39019e-5,0.011479835
ENSG00000152234,ATP5F1A,NA,protein_coding,5-ARI,11.10026422,-0.069659699,6.86524e-4,0.050993167
ENSG00000153179,RASSF3,NA,protein_coding,5-ARI,9.818455894,-0.150390633,9.20828e-4,0.061932143
ENSG00000153208,MERTK,NA,protein_coding,5-ARI,8.254764573,-0.186152344,0.0017949,0.092584709
ENSG00000154277,UCHL1,NA,protein_coding,5-ARI,5.849748342,-0.168308086,3.30177e-4,0.032076407
ENSG00000155016,CYP2U1,NA,protein_coding,5-ARI,8.00930959,-0.265591945,2.02571e-4,0.022942926
ENSG00000155115,GTF3C6,NA,protein_coding,5-ARI,7.576809591,-0.228395694,9.7084e-4,0.063746154
ENSG00000155660,PDIA4,NA,protein_coding,5-ARI,10.06098569,-0.221461381,8.0811e-4,0.057478418
ENSG00000155850,SLC26A2,NA,protein_coding,5-ARI,9.980538785,-0.372197715,5.43004e-4,0.04394042
ENSG00000156194,PPEF2,NA,protein_coding,5-ARI,12.71349743,-0.227424676,1.30745e-5,0.002308842
ENSG00000156284,CLDN8,NA,protein_coding,5-ARI,6.057137825,-0.405581962,0.001362054,0.078123071
ENSG00000156738,MS4A1,NA,protein_coding,5-ARI,3.934560352,-0.100811498,6.348699999999999e-110,3.5014e-107
ENSG00000157593,SLC35B2,NA,protein_coding,5-ARI,7.844577093,-0.132538745,2.7118e-5,0.004438937
ENSG00000157851,DPYSL5,NA,protein_coding,5-ARI,4.385729818,-0.379319561,2.1763e-4,0.023785336
ENSG00000158828,PINK1,NA,protein_coding,5-ARI,9.182254475,-0.112182969,8.82347e-4,0.060710921
ENSG00000159069,FBXW5,NA,protein_coding,5-ARI,8.91631573,-0.119443558,8.55114e-4,0.05975464
ENSG00000159202,UBE2Z,NA,protein_coding,5-ARI,9.649296641,-0.082835339,4.4656e-4,0.038481448
ENSG00000159377,PSMB4,NA,protein_coding,5-ARI,9.16348341,-0.092222018,2.79803e-4,0.028334444
ENSG00000159640,ACE,NA,protein_coding,5-ARI,8.407287366,-0.227821324,0.001392096,0.078712713
ENSG00000160113,NR2F6,NA,protein_coding,5-ARI,8.109089973,-0.143702883,9.59193e-4,0.063676222
ENSG00000160691,SHC1,NA,protein_coding,5-ARI,9.645533555,-0.127778226,5.94052e-4,0.046906568
ENSG00000160703,NLRX1,NA,protein_coding,5-ARI,7.371068506,-0.126206069,0.001309605,0.077081386
ENSG00000160957,RECQL4,NA,protein_coding,5-ARI,7.276267413,-0.49953819,7.00832e-4,0.051588148
ENSG00000160959,LRRC14,NA,protein_coding,5-ARI,8.908862249,-0.416961992,0.001046737,0.066767648
ENSG00000161011,SQSTM1,NA,protein_coding,5-ARI,10.56966906,-0.114572615,0.001688534,0.088988051
ENSG00000162174,ASRGL1,NA,protein_coding,5-ARI,7.926509003,-0.407823229,2.1489e-5,0.003599708
ENSG00000162366,PDZK1IP1,NA,protein_coding,5-ARI,5.240457203,-0.711382329,7.44899e-4,0.053750334
ENSG00000162695,SLC30A7,NA,protein_coding,5-ARI,9.513508758,-0.125739275,0.001153102,0.070300001
ENSG00000162892,IL24,NA,protein_coding,5-ARI,1.892708566,-0.17084169,2.92104e-9,6.93467e-7
ENSG00000163017,ACTG2,NA,protein_coding,5-ARI,13.17109202,-0.333258075,8.54839e-5,0.011651808
ENSG00000163251,FZD5,NA,protein_coding,5-ARI,9.322568204,-0.420679705,6.32519e-6,0.001187148
ENSG00000163286,ALPG,NA,protein_coding,5-ARI,0.590017817,-0.210062586,0,0
ENSG00000163399,ATP1A1,NA,protein_coding,5-ARI,11.87554638,-0.165466805,3.93192e-5,0.006101793
ENSG00000163406,SLC15A2,NA,protein_coding,5-ARI,10.23720408,-0.365404563,3.45943e-4,0.032894704
ENSG00000163479,SSR2,NA,protein_coding,5-ARI,9.654888392,-0.148426655,1.85772e-4,0.021413374
ENSG00000164081,TEX264,NA,protein_coding,5-ARI,7.88570855,-0.182547518,5.77343e-4,0.045890448
ENSG00000164087,POC1A,NA,protein_coding,5-ARI,3.681702522,-0.354813349,8.31571e-4,0.058797135
ENSG00000164751,PEX2,NA,protein_coding,5-ARI,8.584579251,-0.103431574,6.65675e-4,0.049972658
ENSG00000165458,INPPL1,NA,protein_coding,5-ARI,10.06561335,-0.088622426,4.08113e-4,0.036212947
