id,ensembl_gene,symbol,entrez_id,transcript_type,baseMean,lfcSE,stat,log2FoldChange,pvalue,padj
ENSG00000271383,ENSG00000271383,NBPF19,101060226,protein_coding,2422.1578694310638,0.18241939317872932,4.040117865649399,0.7369958494223064,5.3424345922479885e-5,0.00604339885512742
ENSG00000145681,ENSG00000145681,HAPLN1,1404,protein_coding,94.5520190558303,0.47600901227915526,-3.4399094751438355,-1.6374279115929244,5.819087861784235e-4,0.0299443415381697
ENSG00000133048,ENSG00000133048,CHI3L1,1116,protein_coding,98.29241400331136,0.3528575854029455,3.36321554235885,1.1867361154664016,7.704018683835135e-4,0.03473956466298442
ENSG00000115318,ENSG00000115318,LOXL3,84695,protein_coding,1112.4099803564015,0.13430546165804091,-4.656658977682735,-0.6254147337817406,3.2138213021341963e-6,6.913403791246709e-4
ENSG00000163815,ENSG00000163815,CLEC3B,7123,protein_coding,2051.270434289298,0.21954617445536925,-5.293374100024131,-1.162140033621431,1.20079921265136e-7,5.0828668607777896e-5
ENSG00000155011,ENSG00000155011,DKK2,27123,protein_coding,131.93775618965913,0.34034843576680995,-3.2698603479571844,-1.1128918546031443,0.0010760059149042,0.04317843919074288
ENSG00000128656,ENSG00000128656,CHN1,1123,protein_coding,566.6485631517594,0.21641092496997452,-4.284862052493491,-0.9272909601488598,1.828526090439736e-5,0.00257999132889787
ENSG00000144152,ENSG00000144152,FBLN7,129804,protein_coding,384.3649095174579,0.15171735257439337,-4.087402132236081,-0.6201298304097886,4.362306032324991e-5,0.00515695313118635
ENSG00000106034,ENSG00000106034,CPED1,79974,protein_coding,577.5792335783676,0.13042920935117344,-4.8738286616545565,-0.6356896188526916,1.0945593008612966e-6,2.816236695274889e-4
ENSG00000167772,ENSG00000167772,ANGPTL4,51129,protein_coding,3606.40286585125,0.48480040864693413,4.1644616793417795,2.0189327239393924,3.120880364720276e-5,0.00382730767718312
ENSG00000100784,ENSG00000100784,RPS6KA5,9252,protein_coding,149.16643683312589,0.27181624991769615,4.008937605046519,1.089694385957775,6.0992528061462173e-5,0.00661441283654964
ENSG00000150687,ENSG00000150687,PRSS23,11098,protein_coding,12576.5894863213,0.15465741627935667,-6.301564472656153,-0.9745836798587874,2.9465616619627405e-10,2.76177015201965e-7
ENSG00000092148,ENSG00000092148,HECTD1,25831,protein_coding,4238.837157480988,0.12091848477565773,3.3828249662989904,0.40904606918613934,7.174434191921795e-4,0.03309977421875206
ENSG00000105429,ENSG00000105429,MEGF8,1954,protein_coding,3671.050052317889,0.10783936581952502,3.331097955325687,0.3592234909850386,8.650415664319858e-4,0.03783691811573506
ENSG00000133818,ENSG00000133818,RRAS2,22800,protein_coding,4237.943639220387,0.13143828110193306,-4.275896454138509,-0.5620164801018163,1.903696953612784e-5,0.00260211577346947
ENSG00000176225,ENSG00000176225,RTTN,25914,protein_coding,364.3296099062771,0.15520593972647362,-3.2144089277783174,-0.49889535830100024,0.00130713372550178,0.04853704380084973
ENSG00000135269,ENSG00000135269,TES,26136,protein_coding,1257.9292256424478,0.1219125390342748,-3.7525962887324384,-0.4574885415299681,1.7501257599559752e-4,0.0135888462852913
ENSG00000075624,ENSG00000075624,ACTB,60,protein_coding,35422.97265359495,0.10151317772405435,-5.08802859076722,-0.5165019505996227,3.61804834990365e-7,1.1410057690569884e-4
ENSG00000177096,ENSG00000177096,PHETA2,150368,protein_coding,692.4841036357939,0.14095723110688363,-3.912556201428661,-0.5515030887034506,9.132427521793227e-5,0.00838011985601194
ENSG00000008513,ENSG00000008513,ST3GAL1,6482,protein_coding,954.3104459631068,0.13515774087366764,-3.2164773096396337,-0.4347318067423052,0.00129774795319417,0.0483779790960623
ENSG00000100196,ENSG00000100196,KDELR3,11015,protein_coding,1376.4629771842538,0.12411379759532236,-3.794664854718216,-0.47097026572058,1.4784302352033332e-4,0.01232748386108753
ENSG00000197321,ENSG00000197321,SVIL,6840,protein_coding,3619.699079596759,0.1125271578330372,4.624595189339003,0.5203925527846547,3.753306916235216e-6,7.695452086693516e-4
ENSG00000164619,ENSG00000164619,BMPER,168667,protein_coding,1613.9064760711433,0.14209301910727504,-3.9764031334082346,-0.5650191264136046,6.996547927707747e-5,0.00693565797262888
ENSG00000163637,ENSG00000163637,PRICKLE2,166336,protein_coding,732.332381434311,0.1255853893995076,3.2036398454445902,0.4023303574859371,0.00135702117108686,0.04946342168611606
ENSG00000165804,ENSG00000165804,ZNF219,51222,protein_coding,776.0654939299794,0.13256445750214482,-3.431411335138258,-0.4548831821093136,6.004493791417967e-4,0.03007288837060556
ENSG00000068366,ENSG00000068366,ACSL4,2182,protein_coding,2266.7693168662827,0.1637645492674189,3.446309842524982,0.5643833779969731,5.682983646945697e-4,0.02964684500225977
ENSG00000066084,ENSG00000066084,DIP2B,57609,protein_coding,609.9815006569013,0.12983759929320232,3.359810646992176,0.43622974848520496,7.799590986944313e-4,0.03505007977078194
ENSG00000140682,ENSG00000140682,TGFB1I1,7041,protein_coding,1492.68287294248,0.11885994403011284,-3.6740179399750574,-0.4366935667110658,2.3876595746228916e-4,0.01684455319258149
ENSG00000176890,ENSG00000176890,TYMS,7298,protein_coding,1503.3774522997642,0.10487685047802273,-3.925447165132233,-0.4116885353969513,8.656877055308296e-5,0.00799968596617996
ENSG00000144579,ENSG00000144579,CTDSP1,58190,protein_coding,2805.4705583537507,0.11001555894292808,-3.3021896366025225,-0.36329223860637105,9.59331879513478e-4,0.04007978988146899
ENSG00000141510,ENSG00000141510,TP53,7157,protein_coding,902.4147666135624,0.14438485200796866,-3.712937057608487,-0.536091867577704,2.0486785094436807e-4,0.0153615768005257
ENSG00000101966,ENSG00000101966,XIAP,331,protein_coding,1169.7362640671452,0.12770539387898547,3.663301335099656,0.4678233398963149,2.4898534007110573e-4,0.01737864698092047
ENSG00000018189,ENSG00000018189,RUFY3,22902,protein_coding,898.2687045848495,0.16634038364887022,3.2563219945386335,0.5416578498558106,0.00112865675841742,0.04474390931707972
ENSG00000165410,ENSG00000165410,CFL2,1073,protein_coding,1851.992673380577,0.14195300071256045,-3.8660652836951392,-0.5487995679711813,1.1060534248973577e-4,0.00980650881182643
ENSG00000164761,ENSG00000164761,TNFRSF11B,4982,protein_coding,4151.889780253701,0.11289446050297416,-4.978956850769515,-0.5620966475352116,6.392789173338594e-7,1.950841384477885e-4
ENSG00000120913,ENSG00000120913,PDLIM2,64236,protein_coding,1951.2212598221904,0.1412981009421407,-3.499488364849865,-0.4944710602224032,4.6615194834203976e-4,0.02636571494027692
ENSG00000184254,ENSG00000184254,ALDH1A3,220,protein_coding,2830.015395101811,0.13632204499662848,-3.480291353643639,-0.4744404345127852,5.008687776535519e-4,0.02783284794607823
ENSG00000144354,ENSG00000144354,CDCA7,83879,protein_coding,249.57059541549373,0.27794546217777333,-2.445686957266442,-0.6797675916795733,0.01445764694502886,0.18476906494360787
ENSG00000203811,ENSG00000203811,H3C14,126961,protein_coding,15.816521165364742,0.6305974984601648,1.3970695028703954,0.8809885336850574,0.16239267165269247,0.5623955232057616
ENSG00000205362,ENSG00000205362,MT1A,4489,protein_coding,18.270056281031707,0.576859902773262,-1.2309850035348506,-0.7101058894544575,0.21832847316726847,0.6357980969598085
ENSG00000159882,ENSG00000159882,ZNF230,7773,protein_coding,78.38377398021179,0.34374334751043617,-1.8265550191096784,-0.6278661366807495,0.06776670171557701,0.38525378936023486
ENSG00000169851,ENSG00000169851,PCDH7,5099,protein_coding,23.56143527347557,0.4926629380776829,1.6546107668380277,0.8151654017653907,0.09800347807567088,0.4566767185045999
ENSG00000122367,ENSG00000122367,LDB3,11155,protein_coding,18.24228081382707,0.7185493484545274,1.5132268380854164,1.0873281585701806,0.1302220492672399,0.5130934439453446
ENSG00000213316,ENSG00000213316,LTC4S,4056,protein_coding,18.320742776375127,0.6156676460026533,-2.009825943014163,-1.2373848072105926,0.04444961400418165,0.318203947061032
ENSG00000140876,ENSG00000140876,NUDT7,283927,protein_coding,55.520687251719394,0.3367799931997713,-1.8623584534702544,-0.6272050672952489,0.06255258121979648,0.3678095938036403
ENSG00000204695,ENSG00000204695,OR14J1,442191,protein_coding,48.18777347103264,0.41824073937021616,1.5302202879226898,0.6400004646200909,0.12596221122063214,0.5074842295477848
ENSG00000171811,ENSG00000171811,CFAP46,54777,protein_coding,16.05302980625321,0.6935410765614475,-1.3148825928228003,-0.9119250889782324,0.1885493638131438,0.5984439699096006
ENSG00000167525,ENSG00000167525,PROCA1,147011,protein_coding,23.88741823134903,0.4723139645032119,1.25364121772855,0.5921122536100056,0.2099724425584253,0.6254487255492225
ENSG00000157782,ENSG00000157782,CABP1,9478,protein_coding,22.08806474853001,0.6060924314755489,-1.4853794361353885,-0.9002772341110774,0.1374433398865683,0.5246867946947585
ENSG00000111057,ENSG00000111057,KRT18,3875,protein_coding,38.671984726532955,0.49649496937295784,1.5560512321083868,0.7725716088284068,0.11969591027268722,0.4964126847655505
ENSG00000064666,ENSG00000064666,CNN2,1265,protein_coding,3856.833297059917,0.19686923863608088,-2.978914891924062,-0.5864567067347731,0.00289271113419249,0.07896625322948732
ENSG00000117281,ENSG00000117281,CD160,11126,protein_coding,24.158952408886723,0.6098165990030525,1.308689031253785,0.7980602941917828,0.19063970873542807,0.6006180691539704
ENSG00000102543,ENSG00000102543,CDADC1,81602,protein_coding,163.17878055127125,0.23929086642978287,-2.4576041611873003,-0.5880822290719488,0.01398672438445244,0.182019160766546
ENSG00000055955,ENSG00000055955,ITIH4,3700,protein_coding,37.52065042509185,0.37941831292965056,2.33796067086808,0.887065093436641,0.01938928844668327,0.21380356554401503
ENSG00000182263,ENSG00000182263,FIGN,55137,protein_coding,91.97043629340756,0.34890094501755614,-1.9495282445654183,-0.6801922468672917,0.05123237316487743,0.33833477638123893
ENSG00000127533,ENSG00000127533,F2RL3,9002,protein_coding,25.68254724380005,0.5157135748647551,1.6562333297560088,0.8541420112986281,0.09767457602585213,0.45599691464932074
ENSG00000205177,ENSG00000205177,C11orf91,100131378,protein_coding,21.71630241193276,0.5747829333035684,2.85429200986526,1.6405983339352923,0.0043132864837305,0.0991299631113521
ENSG00000138018,ENSG00000138018,SELENOI,85465,protein_coding,525.3605799195337,0.1949848055874696,3.0634498740595273,0.5973261781204551,0.00218800857373619,0.06630727137313233
ENSG00000212864,ENSG00000212864,RNF208,727800,protein_coding,63.438642970141245,0.33826178425983044,-1.925249299541187,-0.6512382632077907,0.05419817716812332,0.3447225150623055
ENSG00000197977,ENSG00000197977,ELOVL2,54898,protein_coding,15.33369798442879,0.585979620073571,-1.2561119389955686,-0.7360559967824999,0.20907538809456497,0.6247073906264506
ENSG00000169035,ENSG00000169035,KLK7,5650,protein_coding,24.437990663792696,0.7633890743256508,2.5402499625771866,1.9391990674875677,0.01107732679737482,0.161507424705725
ENSG00000066382,ENSG00000066382,MPPED2,744,protein_coding,14.68928068770316,0.9166083815435264,-1.4629242008272991,-1.3409285840411675,0.14348812108029202,0.5319298981270516
ENSG00000168884,ENSG00000168884,TNIP2,79155,protein_coding,903.033099723267,0.14573495226372274,-0.4955625944287645,-0.07222079104276258,0.6202030492139285,0.8802692468847813
ENSG00000196821,ENSG00000196821,ILRUN,64771,protein_coding,2179.5563443872684,0.11004178569450196,2.171002780349174,0.2389010226973517,0.0299309622075857,0.26483754962099776
ENSG00000104884,ENSG00000104884,ERCC2,2068,protein_coding,695.0162926060988,0.13344845574173536,-0.12817003561009102,-0.01710409332452987,0.8980144125771048,0.975801890604206
ENSG00000197785,ENSG00000197785,ATAD3A,55210,protein_coding,868.9348458753218,0.1596855365097884,-0.7522330858889577,-0.12012074390059194,0.4519108999961981,0.8011248508877121
ENSG00000065600,ENSG00000065600,PACC1,55248,protein_coding,111.58693801079347,0.2833278443893502,0.46720381666302574,0.13237185026561227,0.6403540632562504,0.8873069895582023
ENSG00000214338,ENSG00000214338,SOGA3,387104,protein_coding,41.56264345831271,0.4226299738550869,0.39383934675389665,0.16644831282170383,0.6936996527675985,0.905701018042829
ENSG00000110446,ENSG00000110446,SLC15A3,51296,protein_coding,157.92180250755476,0.27050100657738946,-1.3413199589713525,-0.3628283990440936,0.17981659233528036,0.5864226161058632
ENSG00000198892,ENSG00000198892,SHISA4,149345,protein_coding,286.47274536047445,0.2197900121008412,-0.455561384337847,-0.10012784217629137,0.6487054168516554,0.8898498448174189
ENSG00000107175,ENSG00000107175,CREB3,10488,protein_coding,923.7693629664716,0.1396903854767848,-0.231674041958227,-0.03236263622610955,0.8167911944120217,0.9504160975116944
ENSG00000113593,ENSG00000113593,PPWD1,23398,protein_coding,567.6639172758918,0.14197700609063602,-0.5877870678910163,-0.08345224811795991,0.5566752253430879,0.8512703743158376
ENSG00000130856,ENSG00000130856,ZNF236,7776,protein_coding,347.36714340937584,0.23540860606137864,-0.8448710918838328,-0.198889926041928,0.39818281632097385,0.7724582549793241
ENSG00000198730,ENSG00000198730,CTR9,9646,protein_coding,1237.3680537811388,0.11489412979428536,1.5809140928481762,0.18163774897731325,0.11389768156241628,0.48477631445411173
ENSG00000169583,ENSG00000169583,CLIC3,9022,protein_coding,56.248370508532986,0.4110545730523157,-0.9377929245559706,-0.385484070214837,0.3483508379205611,0.7390992728335279
ENSG00000164808,ENSG00000164808,SPIDR,23514,protein_coding,1054.6602106416617,0.15325703804120797,1.8846044329882137,0.2888288932791038,0.0594832633708344,0.3606804369751356
ENSG00000073803,ENSG00000073803,MAP3K13,9175,protein_coding,353.00595442493443,0.15299793273526077,-1.0134303852331443,-0.15505275391177004,0.3108546319928217,0.7120892346981026
ENSG00000180628,ENSG00000180628,PCGF5,84333,protein_coding,1485.221459877358,0.11986190531658354,-0.07479988700072669,-0.00896565697337225,0.9403739317277672,0.9868853514060888
ENSG00000197128,ENSG00000197128,ZNF772,400720,protein_coding,120.52287106963,0.3049961876300805,-0.1020413605799642,-0.03112222595747545,0.9187238454112228,0.9813182172963832
ENSG00000111145,ENSG00000111145,ELK3,2004,protein_coding,5811.599967980637,0.1972712333393461,1.5019192259599858,0.29628545808120244,0.1331179706954597,0.5188712391097909
ENSG00000126457,ENSG00000126457,PRMT1,3276,protein_coding,1766.070512477241,0.13880340687593842,-1.494627722689548,-0.20745941992053457,0.13501162685760568,0.5221404561230479
ENSG00000198937,ENSG00000198937,CCDC167,154467,protein_coding,145.91811691186962,0.22188258099048044,-2.2079123282852504,-0.4898972860006323,0.02725038527892297,0.2543240082717121
ENSG00000019485,ENSG00000019485,PRDM11,56981,protein_coding,137.1176229958614,0.22673635337932804,-2.236385974535225,-0.5070700006147917,0.0253264990706066,0.244903699929624
ENSG00000134744,ENSG00000134744,TUT4,23318,protein_coding,847.2637377035111,0.1566255253200786,2.120640922960493,0.33214649857394346,0.03395203155083009,0.2809070353152538
ENSG00000105063,ENSG00000105063,PPP6R1,22870,protein_coding,2235.727317519415,0.11282693639882622,0.9451040153379466,0.10663319062880978,0.3446057755776318,0.736558961496248
ENSG00000117758,ENSG00000117758,STX12,23673,protein_coding,1151.3264737914724,0.11182505638787704,0.08407626209091985,0.00940183274919904,0.9329957979138992,0.984303815744186
ENSG00000157657,ENSG00000157657,ZNF618,114991,protein_coding,534.0221303558526,0.19587075216176847,-0.3041262892713769,-0.05956944503175217,0.7610316789221561,0.9323533862654
